Date,Department,Revenue,COGS,Operating_Expenses,Marketing_Spend,R&D_Spend,Headcount,New_Customers,Customer_Churn,Average_Deal_Size
2024-01-01,Software," $ 1,250,000.00 ",437500,312500,125000," $ 187,500.00 ",45,85,12,14705.88
2024-01-01,Hardware," $ 875,000.00 ",481250,218750,87500," $ 131,250.00 ",28,42,9,20833.33
2024-01-01,Services," $ 625,000.00 ",250000,218750,62500," $ 37,500.00 ",32,118,25,5296.61
2024-02-01,Software," $ 1,287,500.00 ",450625,321875,128750," $ 193,125.00 ",46,88,14,14630.68
2024-02-01,Hardware," $ 918,750.00 ",505312.5,229687.5,91875," $ 137,812.50 ",28,45,7,20416.67
2024-02-01,Services," $ 650,000.00 ",260000," $ 227,500.00 ",65000," $ 39,000.00 ",33,125,28,NaN
2024-03-01,Software," $ 1,326,125.00 ",464143.75," $ 331,531.25 ",132612.5," $ 198,918.75 ",47,92,13,14414.4
2024-03-01,Hardware," $ 982,650.00 "," $ 540,457.50 "," $ 245,662.50 ",98265," $ 147,397.50 ",30,48,8,20471.88
2024-03-01,Services," $ 682,500.00 "," $ 273,000.00 "," $ 238,875.00 ",68250," $ 40,950.00 ",35,135,30,5055.56
2024-04-01,Software," $ 1,392,431.25 "," $ 487,350.94 "," $ 348,107.81 ",139243.13," $ 208,864.69 ",48,97,15,14354.96
2024-04-01,Hardware," $ 1,061,460.00 "," $ 583,803.00 ",265365,106146," $ 159,219.00 ",32,52,6,20412.69
2024-04-01,Services," $ 730,275.00 "," $ 292,110.00 ",255596.25,73027.5," $ 43,816.50 ",37,142,32,5143.49
2024-05-01,Software," $ 1,448,128.50 "," $ 506,844.98 "," $ 362,032.13 ",144812.85," $ 217,219.28 ",50,102,18,14197.34
2024-05-01,Hardware," $ 1,136,060.20 "," $ 624,833.11 "," $ 284,015.05 ",113606.02," $ 170,409.03 ",33,56,9,20286.79
2024-05-01,Services,759486," $ 303,794.40 "," $ 265,820.10 ",75948.6," $ 45,569.16 ",38,149,35,5097.22
2024-06-01,Software,1505053.64," $ 526,768.77 "," $ 376,263.41 ",150505.36," $ 225,758.05 ",52,107,16,14065.92
2024-06-01,Hardware,1181502.61,649826.43," $ 295,375.65 ",118150.26," $ 177,225.39 ",35,59,10,20025.47
2024-06-01,Services,787668.01,315067.2," $ 275,683.80 ",78766.8," $ 47,260.08 ",40,157,37,5017.63
2024-07-01,Software,1505053.64,526768.77," $ 376,263.41 ",150505.36," $ 225,758.05 ",54,110,19,None
2024-07-01,Hardware,1228762.71,675819.49," $ 307,190.68 ",122876.27," $ 184,314.41 ",36,62,12,19815.53
2024-07-01,Services,779791.33,311916.53," $ 272,926.97 ",77979.13," $ 46,787.48 ",41,152,40,5130.21
2024-08-01,Software,1565255.79,547839.53," $ 391,313.95 ",156525.58," $ 234,788.37 ",55,115,21,13610.92
2024-08-01,Hardware,1290200.85,709610.47," $ 322,550.21 ",129020.08," $ 193,530.13 ",37,65,8,19849.24
2024-08-01,Services,810982.98,324393.19," $ 283,844.04 ",81098.3," $ 48,658.98 ",42,160,35,5068.64
2024-09-01,Software,1627866.02,569753.11," $ 406,966.51 ",162786.6," $ 244,179.90 ",56,120,15,13565.55
2024-09-01,Hardware,1354710.89,745090.99," $ 338,677.72 ",135471.09," $ 203,206.63 ",38,69,11,19633.49
2024-09-01,Services,843422.3,337368.92," $ 295,197.81 ",84342.23," $ 50,605.34 ",43,168,32,5020.37
2024-10-01,Software,1676702,586845.7," $ 419,175.50 ",167670.2," $ 251,505.30 ",57,124,18,
2024-10-01,Hardware,1422446.43,782345.54," $ 355,611.61 ",142244.64," $ 213,366.96 ",39,73,9,19485.57
2024-10-01,Services,877159.19,350863.68," $ 307,005.72 ",87715.92," $ 52,629.55 ",44,176,29,4983.29
2024-11-01,Software,NaN,616187.98,440134.28,176053.71," $ 264,080.56 ",58,129,22,13648.35
2024-11-01,Hardware,1493568.76,,373392.19,TBA," $ 224,035.31 ",EMAIL THEM,77,13,19396.99
2024-11-01,Services,912245.56,364898.22,319285.95,91224.56, - ,45,183,33,-
2024-12-01,Software,1848563.96,NaN,WIP,184856.4," $ 277,284.59 ",DEC,135,WTF,13693.07
2024-12-01,Hardware,None,,392061.8,,,dec,DEC,10,FALSE
2024-12-01,Services,None,383543.13,2024-12-29,95885.78, - ,Dec,DEC,30,FALSE
